Pair,Method,Period,Q,N,ObservedWeeks,Mean,Median,Std,PositiveRate,NegativeRate,NeutralRate,CILow,CIHigh,ValidBootstraps
GBPJPY,Primary,Monitor2026,3,38,26,3.3947368421050177,10.200000000000387,31.17138281638491,0.5789473684210527,0.42105263157894735,0.0,-7.178794642857174,13.23145588235271,5000
GBPJPY,Primary,Monitor2026,4,24,17,10.558333333333536,9.799999999999898,26.894106622353142,0.7083333333333334,0.2916666666666667,0.0,-0.9890476190474918,21.35472027972019,5000
GBPJPY,Primary,Monitor2026,5,30,18,10.583333333332993,-1.9500000000022055,47.715349105187215,0.4666666666666667,0.5333333333333333,0.0,-3.9706730769235508,26.508120512819985,5000
GBPJPY,Robustness,Monitor2026,1,41,25,2.397560975609558,7.400000000001228,23.55401757455521,0.5365853658536586,0.4634146341463415,0.0,-4.417723123732376,8.769780012571067,5000
GBPJPY,Robustness,Monitor2026,2,44,26,-2.1227272727275253,-4.900000000000659,28.88158553623147,0.45454545454545453,0.5454545454545454,0.0,-10.515895454545722,7.539111280487213,5000
GBPJPY,Robustness,Monitor2026,3,39,27,3.700000000000031,4.999999999998295,45.4689714906886,0.5384615384615384,0.46153846153846156,0.0,-10.459687670485767,17.99174104336879,5000
GBPJPY,Robustness,Monitor2026,4,23,19,0.17826086956520354,0.49999999999954525,38.09136094518169,0.5217391304347826,0.4782608695652174,0.0,-15.608374999999972,16.650059523809727,5000
GBPJPY,Robustness,Monitor2026,5,29,18,5.824137931034066,5.19999999999925,38.816497368777156,0.5517241379310345,0.4482758620689655,0.0,-5.2269782608695134,16.530595238094353,5000
USDJPY,Primary,RecentCombined,1,235,154,0.43234042553194135,1.4000000000010004,25.517593579838838,0.5148936170212766,0.4851063829787234,0.0,-3.0239799382715673,3.7784254655191485,5000
USDJPY,Primary,RecentCombined,2,251,166,0.1426294820717544,-0.7000000000005002,31.516034894291057,0.47410358565737054,0.5219123505976095,0.00398406374501992,-3.7929413109755545,4.266568996019477,5000
USDJPY,Primary,RecentCombined,3,213,154,-1.8309859154927937,-0.8000000000009777,30.803102292071692,0.4835680751173709,0.5164319248826291,0.0,-5.97402819789259,2.023228046595078,5000
USDJPY,Primary,RecentCombined,4,234,156,2.6700854700854717,1.0500000000014609,33.946445489418466,0.5213675213675214,0.47863247863247865,0.0,-1.8643496633784642,7.271384631206144,5000
USDJPY,Primary,RecentCombined,5,270,152,2.3411111111112155,3.3499999999989427,41.97343351975646,0.5592592592592592,0.44074074074074077,0.0,-2.679705523989304,7.249121079595192,5000
USDJPY,Robustness,RecentCombined,1,246,159,1.4833333333332297,2.6999999999986812,24.908008847796403,0.540650406504065,0.45528455284552843,0.0040650406504065045,-1.4218345255475757,4.523478608882985,5000
USDJPY,Robustness,RecentCombined,2,238,157,-1.2873949579831425,0.24999999999977263,28.245585307931748,0.5042016806722689,0.4957983193277311,0.0,-4.762177613135697,1.94512916588217,5000
USDJPY,Robustness,RecentCombined,3,232,161,1.7750000000000958,-1.7499999999998295,33.59979739940984,0.47844827586206895,0.521551724137931,0.0,-2.71325531659721,6.512477318548471,5000
