Method,Period,StrategyNo,R2Quintile,Expansion,Compression,ExpansionAvgR,CompressionAvgR,Delta,FEWeight,Informative
ATR,ALL,27,Q4,30,21,0.002388888899999982,0.024682539666666687,-0.022293650766666704,12.352941176470589,True
ATR,ALL,27,Q5,42,29,0.22190476188095237,-0.1336781608275862,0.3555829227085386,17.154929577464788,True
ATR,ALL,28,Q1,46,56,0.02826086958695653,0.007761904767857157,0.020498964819099373,25.254901960784313,True
ATR,ALL,28,Q2,35,36,0.057142857171428585,0.04262962955555555,0.014513227615873037,17.746478873239436,True
ATR,ALL,28,Q3,30,26,0.31097777773333324,0.05461538453846155,0.2563623931948717,13.928571428571429,True
ATR,ALL,28,Q4,15,18,0.13582222226666663,0.13622222211111112,-0.00039999984444449854,8.181818181818182,False
ATR,ALL,28,Q5,45,33,0.1167999999777778,-0.031070707121212134,0.14787070709898995,19.03846153846154,True
RV,ALL,1,Q1,101,84,0.08400282887128713,0.08663265303571428,-0.0026298241644271553,45.85945945945946,True
RV,ALL,1,Q2,56,48,0.12352040814285714,0.19139880943749998,-0.06787840129464284,25.846153846153847,True
RV,ALL,1,Q3,28,36,0.2705612246071429,0.21051587297222218,0.060045351634920696,15.75,True
RV,ALL,1,Q4,45,31,0.13117460317777777,0.17705069122580647,-0.0458760880480287,18.355263157894736,True
RV,ALL,1,Q5,56,62,0.33372448980357144,0.29440092162903225,0.03932356817453919,29.423728813559322,True
RV,ALL,2,Q1,122,106,-0.015810564631147536,0.06519916146226415,-0.08100972609341169,56.719298245614034,True
RV,ALL,2,Q2,66,54,0.057946128015151525,0.3074485597592593,-0.24950243174410774,29.7,True
RV,ALL,2,Q3,31,40,0.1944802868387097,0.30777777780000004,-0.11329749096129035,17.464788732394368,True
RV,ALL,2,Q4,57,43,0.07228070175438595,0.05421188623255814,0.018068815521827805,24.51,True
RV,ALL,2,Q5,63,75,0.17537918876190478,0.11508148153333335,0.06029770722857143,34.23913043478261,True
