StrategyNo,EntryTime,Variant,Direction,Checkpoint,IndependentMFE,IndependentR,Status
14,2022-08-03 20:01:00,NP50,Short,2022-08-03 23:34:00,,-1.0,PASS
14,2026-09-03 20:01:00,NP50,Short,2026-09-03 23:34:00,,1.555555556,PASS
13,2026-04-30 18:04:00,NP50,Long,2026-04-30 20:03:00,,-1.0,PASS
13,2026-07-30 18:04:00,NP50,Long,2026-07-30 20:03:00,,-1.0,PASS
13,2026-04-30 18:04:00,NP75,Long,2026-04-30 21:03:00,,-1.0,PASS
13,2026-07-30 18:04:00,NP75,Long,2026-07-30 21:03:00,,-1.0,PASS
16,2017-08-10 02:58:00,NP75,Long,2017-08-10 08:07:00,0.16666666666667299,-0.035555556,PASS
13,2017-09-28 18:04:00,NP50,Long,2017-09-28 20:03:00,0.030526315789469852,-0.163157895,PASS
20,2015-01-05 10:01:00,NP50,Short,2015-01-05 13:00:00,,-1.0,PASS
20,2026-02-02 10:01:00,NP50,Short,2026-02-02 13:00:00,,-1.0,PASS
20,2015-01-05 10:01:00,NP75,Short,2015-01-05 14:30:00,,-1.0,PASS
20,2026-06-23 10:01:00,NP75,Short,2026-06-23 14:30:00,,-1.0,PASS
20,2015-01-06 10:01:00,NP50,Short,2015-01-06 13:00:00,0.8379999999999832,0.576,PASS
20,2026-09-01 10:01:00,NP50,Short,2026-09-01 13:00:00,0.40599999999995084,0.098,PASS
20,2015-01-06 10:01:00,NP75,Short,2015-01-06 14:30:00,0.8379999999999832,0.576,PASS
20,2026-09-01 10:01:00,NP75,Short,2026-09-01 14:30:00,0.40599999999995084,0.098,PASS
17,2015-01-07 09:59:00,NP50,Short,2015-01-07 15:28:00,0.45285714285712786,1.098571429,PASS
17,2026-09-02 09:59:00,NP50,Short,2026-09-02 15:28:00,0.4099999999999897,0.234285714,PASS
17,2015-01-07 09:59:00,NP75,Short,2015-01-07 18:13:00,0.5314285714285636,1.098571429,PASS
17,2026-09-02 09:59:00,NP75,Short,2026-09-02 18:13:00,0.4099999999999897,0.234285714,PASS
19,2015-01-07 20:56:00,NP50,Long,2015-01-08 03:28:00,0.5522222222222132,-0.21,PASS
19,2026-09-03 20:56:00,NP50,Long,2026-09-04 03:28:00,0.25777777777776417,-0.115555556,PASS
19,2015-01-07 20:56:00,NP75,Long,2015-01-08 06:44:00,0.59111111111111,-0.21,PASS
19,2026-09-03 20:56:00,NP75,Long,2026-09-04 06:44:00,0.25777777777776417,-0.115555556,PASS
27,2015-01-09 10:00:00,NP50,Short,2015-01-09 12:55:00,0.28833333333329786,0.001666667,PASS
27,2026-07-14 10:00:00,NP50,Short,2026-07-14 12:55:00,0.28999999999997544,0.406666667,PASS
27,2015-01-09 10:00:00,NP75,Short,2015-01-09 14:22:00,0.28833333333329786,0.001666667,PASS
27,2026-07-14 10:00:00,NP75,Short,2026-07-14 14:22:00,0.42166666666665353,0.406666667,PASS
27,2015-01-12 10:00:00,NP75,Short,2015-01-12 14:22:00,,1.0,PASS
27,2026-05-15 10:00:00,NP75,Short,2026-05-15 14:22:00,,-1.0,PASS
17,2015-01-14 09:59:00,NP50,Short,2015-01-14 15:28:00,,-1.0,PASS
17,2025-11-19 09:59:00,NP50,Short,2025-11-19 15:28:00,,-1.0,PASS
17,2015-01-14 09:59:00,NP75,Short,2015-01-14 18:13:00,,-1.0,PASS
17,2025-11-19 09:59:00,NP75,Short,2025-11-19 18:13:00,,-1.0,PASS
27,2015-01-14 10:00:00,NP50,Short,2015-01-14 12:55:00,,-1.0,PASS
27,2026-03-11 10:00:00,NP50,Short,2026-03-11 12:55:00,,1.0,PASS
19,2015-01-15 20:56:00,NP50,Long,2015-01-16 03:28:00,,-1.0,PASS
19,2025-11-05 20:56:00,NP50,Long,2025-11-06 03:28:00,,-1.0,PASS
19,2015-01-15 20:56:00,NP75,Long,2015-01-16 06:44:00,,-1.0,PASS
19,2026-04-09 20:56:00,NP75,Long,2026-04-10 06:44:00,,-1.0,PASS
18,2015-02-02 09:59:00,NP50,Short,2015-02-02 19:42:00,0.321111111111093,0.017777778,PASS
18,2026-09-07 09:59:00,NP50,Short,2026-09-07 19:42:00,0.33888888888886387,0.188888889,PASS
18,2015-02-02 09:59:00,NP75,Short,2015-02-03 00:34:00,0.375555555555524,0.017777778,PASS
18,2026-09-08 09:59:00,NP75,Short,2026-09-09 00:34:00,0.2988888888888732,0.022222222,PASS
17,2015-02-11 09:59:00,NP50,Short,2015-02-11 15:28:00,0.21857142857140133,-0.045714286,PASS
17,2026-07-22 09:59:00,NP50,Short,2026-07-22 15:28:00,0.06571428571427212,-0.657142857,PASS
17,2015-02-11 09:59:00,NP75,Short,2015-02-11 18:13:00,0.21857142857140133,-0.501428571,PASS
17,2026-07-22 09:59:00,NP75,Short,2026-07-22 18:13:00,0.06571428571427212,-0.492857143,PASS
