Pair,Date,Season,Direction,Endpoint,RawTime,UTC,JST,London,Open,Filename,SourceRow,Pip,X,Y,Status
EURAUD,2015-03-30,summer,UP,Tokyo09,2015-03-30 03:00:00,2015-03-30 00:00:00+00:00,2015-03-30 09:00:00+09:00,2015-03-30 01:00:00+01:00,1.40675,EURAUD_M1_201501020900_201612302359.csv,87231,0.0001,9.700000000001374,12.0000000000009,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-03-30,summer,UP,Tokyo15,2015-03-30 09:00:00,2015-03-30 06:00:00+00:00,2015-03-30 15:00:00+09:00,2015-03-30 07:00:00+01:00,1.40772,EURAUD_M1_201501020900_201612302359.csv,87591,0.0001,9.700000000001374,12.0000000000009,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-03-30,summer,UP,London08,2015-03-30 10:00:00,2015-03-30 07:00:00+00:00,2015-03-30 16:00:00+09:00,2015-03-30 08:00:00+01:00,1.4095,EURAUD_M1_201501020900_201612302359.csv,87651,0.0001,9.700000000001374,12.0000000000009,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-03-30,summer,UP,London11,2015-03-30 13:00:00,2015-03-30 10:00:00+00:00,2015-03-30 19:00:00+09:00,2015-03-30 11:00:00+01:00,1.4107,EURAUD_M1_201501020900_201612302359.csv,87831,0.0001,9.700000000001374,12.0000000000009,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-03-31,summer,DOWN,Tokyo09,2015-03-31 03:00:00,2015-03-31 00:00:00+00:00,2015-03-31 09:00:00+09:00,2015-03-31 01:00:00+01:00,1.41413,EURAUD_M1_201501020900_201612302359.csv,88671,0.0001,-17.500000000001403,-38.800000000001056,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-03-31,summer,DOWN,Tokyo15,2015-03-31 09:00:00,2015-03-31 06:00:00+00:00,2015-03-31 15:00:00+09:00,2015-03-31 07:00:00+01:00,1.41238,EURAUD_M1_201501020900_201612302359.csv,89031,0.0001,-17.500000000001403,-38.800000000001056,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-03-31,summer,DOWN,London08,2015-03-31 10:00:00,2015-03-31 07:00:00+00:00,2015-03-31 16:00:00+09:00,2015-03-31 08:00:00+01:00,1.41352,EURAUD_M1_201501020900_201612302359.csv,89091,0.0001,-17.500000000001403,-38.800000000001056,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-03-31,summer,DOWN,London11,2015-03-31 13:00:00,2015-03-31 10:00:00+00:00,2015-03-31 19:00:00+09:00,2015-03-31 11:00:00+01:00,1.40964,EURAUD_M1_201501020900_201612302359.csv,89271,0.0001,-17.500000000001403,-38.800000000001056,RAW_CSV_DECIMAL_VERIFIED
GBPAUD,2015-01-05,winter,UP,Tokyo09,2015-01-05 02:00:00,2015-01-05 00:00:00+00:00,2015-01-05 09:00:00+09:00,2015-01-05 00:00:00+00:00,1.89396,GBPAUD_M1_201501020900_201612302359.csv,1022,0.0001,44.49999999999843,-69.09999999999971,RAW_CSV_DECIMAL_VERIFIED
GBPAUD,2015-01-05,winter,UP,Tokyo15,2015-01-05 08:00:00,2015-01-05 06:00:00+00:00,2015-01-05 15:00:00+09:00,2015-01-05 06:00:00+00:00,1.89841,GBPAUD_M1_201501020900_201612302359.csv,1382,0.0001,44.49999999999843,-69.09999999999971,RAW_CSV_DECIMAL_VERIFIED
GBPAUD,2015-01-05,winter,UP,London08,2015-01-05 10:00:00,2015-01-05 08:00:00+00:00,2015-01-05 17:00:00+09:00,2015-01-05 08:00:00+00:00,1.89946,GBPAUD_M1_201501020900_201612302359.csv,1502,0.0001,44.49999999999843,-69.09999999999971,RAW_CSV_DECIMAL_VERIFIED
