Variant,StrategyNo,Strategy,BaselineTotalR,DeltaTotalR,Improved,Harmed,Unchanged,SampleStatus,Trades,Weeks,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,TriggerRate,SLRate,TPRate,TimeExitRate,DynamicSLRate,WorstDayR,WorstWeekR,MaxDDR
R0,11,11_AJ_SatB,23.105454530999996,0.0,0,0,403,OK,403,403,23.105454530999996,0.057333634071960286,1.2700956427370997,0.49379652605459057,0.545984467763819,-0.41934046350000004,0.0,0.07196029776674938,0.034739454094292806,0.8933002481389578,0.0,-1.0,-1.0,5.985454548000003
R0,12,12_UJ_Short_Core,129.353,0.0,0,0,546,OK,546,231,129.353,0.23691025641025643,2.1739406645067025,0.5860805860805861,0.7485625,-0.49411210762331836,0.0,0.11355311355311355,0.05311355311355311,0.8333333333333334,0.0,-1.0,-3.0,5.0
R0,13,13_UJ_Fix_MidWeek,19.084210522,0.0,0,0,223,OK,223,133,19.084210522,0.08557941938116592,2.323454266251948,0.6233183856502242,0.24103748578417267,-0.1716666666904762,0.0,0.008968609865470852,0.008968609865470852,0.9820627802690582,0.0,-1.0,-0.797894737,1.8926315789999997
R0,14,14_UJ_Sat_3rd,28.233333342,0.0,0,0,73,OK,73,73,28.233333342,0.38675799098630137,3.336766599987802,0.684931506849315,0.80631111128,-0.5253140096521739,0.0,0.0958904109589041,0.2191780821917808,0.684931506849315,0.0,-1.0,-1.0,1.6266666670000003
R0,15,15_UJ_Sat_Aug,24.075,0.0,0,0,70,OK,70,23,24.075,0.3439285714285714,1.857371794871795,0.5428571428571428,1.3725,-0.8775,0.0,0.37142857142857144,0.35714285714285715,0.2714285714285714,0.0,-1.0,-1.25,3.620000000000001
R0,16,16_UJ_T10A,11.744444443999997,0.0,0,0,60,OK,60,60,11.744444443999997,0.19574074073333328,2.250887573902357,0.65,0.5418803418717949,-0.447089947095238,0.0,0.08333333333333333,0.03333333333333333,0.8833333333333333,0.0,-1.0,-1.0,1.211111111000001
R0,17,17_EA_1B_Wed_Short,52.781428567999995,0.0,0,0,351,OK,351,351,52.781428567999995,0.15037444036467235,1.6097267145859668,0.5897435897435898,0.6731746031642513,-0.6011507936597222,0.0,0.17094017094017094,0.014245014245014245,0.8148148148148148,0.0,-1.0,-1.0,4.3471428589999945
R0,18,18_EA_2_MonWed_Short,39.053333343,0.0,0,0,953,OK,953,426,39.053333343,0.04097936342392445,1.145359200373806,0.5183630640083945,0.6229172289757084,-0.5866108684956333,0.0,0.18782791185729275,0.026232948583420776,0.7859391395592865,0.0,-1.0,-3.0,23.832222218000005
R0,19,19_EA_3_WedThu_Long,63.135555575999994,0.0,0,0,703,OK,703,448,63.135555575999994,0.08980875615362731,1.4285865139566416,0.55049786628734,0.5437898363875969,-0.46765432097142845,0.0,0.0953058321479374,0.0,0.9046941678520626,0.0,-1.0,-2.0,7.2344444439999975
R0,20,20_EA_1A_MonTue_Short,24.314000000000004,0.0,0,0,770,OK,770,450,24.314000000000004,0.03157662337662338,1.1200560926714136,0.509090909090909,0.5786632653061224,-0.5371936339522546,0.0,0.15324675324675324,0.014285714285714285,0.8324675324675325,0.0,-1.0,-2.0,12.853999999999992
R0,21,21_GA_B_3,8.894545480999998,0.0,0,0,587,OK,587,587,8.894545480999998,0.015152547667802382,1.1673980928189815,0.5264054514480409,0.20073992357605178,-0.19181982275812276,0.0,0.008517887563884156,0.10562180579216354,0.8858603066439523,0.0,-1.0,-1.0,6.221363637000001
