Period,Pair,Event,N,MeanAlignedPips,MedianAlignedPips,PositiveRate,CILow,CIHigh,ValidBootstraps
ALL,EURJPY,UP_BREAKOUT,717,1.4026499302650866,0.8000000000009777,0.5174337517433751,-0.34185835520012287,3.067630626520824,5000
ALL,EURJPY,DOWN_BREAKOUT,575,0.9933913043477847,-0.7000000000005002,0.4817391304347826,-1.136629812981325,3.155133087673542,5000
ALL,EURJPY,UP_SWEEP,420,0.03380952380949915,-0.25000000000048317,0.49047619047619045,-2.326397783251337,2.4679919250682727,5000
ALL,EURJPY,DOWN_SWEEP,398,-0.418341708542826,0.3500000000002501,0.507537688442211,-2.614519902813641,1.8424695414790428,5000
ALL,GBPJPY,UP_BREAKOUT,709,1.4574047954865847,1.999999999998181,0.538787023977433,-1.2442190277395409,4.182375197556117,5000
ALL,GBPJPY,DOWN_BREAKOUT,664,-1.103614457831343,-2.39999999999867,0.4608433734939759,-3.7332459928829733,1.5160582847138668,5000
ALL,GBPJPY,UP_SWEEP,408,-0.5325980392156836,-2.400000000000091,0.46078431372549017,-3.5477728426396298,2.4672254957342226,5000
ALL,GBPJPY,DOWN_SWEEP,383,2.3882506527415717,2.5000000000005684,0.5535248041775457,-0.963492677673856,5.699166765025281,5000
ALL,AUDJPY,UP_BREAKOUT,567,0.6589065255732431,1.099999999999568,0.5361552028218695,-0.9259742928161637,2.1952837141787187,5000
ALL,AUDJPY,DOWN_BREAKOUT,466,0.4000000000000086,-0.3500000000002501,0.4892703862660944,-1.3821772250822812,2.1453863260380213,5000
ALL,AUDJPY,UP_SWEEP,384,0.3114583333332884,-0.8499999999997954,0.4713541666666667,-1.5589722392607062,2.363298240669896,5000
ALL,AUDJPY,DOWN_SWEEP,298,-1.0053691275168246,-0.3000000000007219,0.47651006711409394,-2.7911771930600855,0.7949999999999685,5000
ALL,AUDUSD,UP_BREAKOUT,570,0.5191228070175244,0.700000000000145,0.519298245614035,-0.5041296961967102,1.5583270302174599,5000
ALL,AUDUSD,DOWN_BREAKOUT,506,0.7330039525691976,-0.20000000000020002,0.4901185770750988,-0.30544715800445865,1.8277514049497627,5000
ALL,AUDUSD,UP_SWEEP,364,0.7980769230769145,0.8500000000000174,0.5192307692307693,-0.36403546841030354,1.9646516149729571,5000
ALL,AUDUSD,DOWN_SWEEP,356,-0.33314606741568914,-0.4500000000001725,0.49157303370786515,-1.5243507765553925,0.8845400709065272,5000
ALL,EURAUD,UP_BREAKOUT,579,-0.26252158894644195,-0.5000000000010552,0.4853195164075993,-2.352016932611868,1.873629725085945,5000
ALL,EURAUD,DOWN_BREAKOUT,575,-0.6921739130433866,0.0,0.4991304347826087,-2.8737668612399885,1.5135216514700156,5000
ALL,EURAUD,UP_SWEEP,344,0.732848837209372,0.9500000000006725,0.5087209302325582,-1.5431004106334298,3.087543843283733,5000
ALL,EURAUD,DOWN_SWEEP,418,0.5681818181818488,0.1999999999990898,0.5023923444976076,-1.7410620613690588,3.003359413062287,5000
ALL,GBPAUD,UP_BREAKOUT,556,4.57068345323745,3.4999999999985043,0.5503597122302158,1.7907590115581475,7.392983532122566,5000
ALL,GBPAUD,DOWN_BREAKOUT,668,-1.6464071856287585,-0.3500000000000725,0.48952095808383234,-4.199901850750349,0.9455763535057619,5000
ALL,GBPAUD,UP_SWEEP,338,-0.7565088757396345,-1.4999999999998348,0.4822485207100592,-4.373277601766471,2.934911522369095,5000
ALL,GBPAUD,DOWN_SWEEP,416,3.542307692307648,1.7500000000003624,0.5240384615384616,-0.20847510160869712,7.197633879023327,5000
