Group,Method,Period,StrategyNo,Strategy,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,Flag,EligiblePair,WeakMinusStrongAvgR,Aggregation,EligibleStrategies,EligibleIDs
Short,primary,Historical,9,9_AJ_Core2,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.0229324284352469959946595461,,,
Short,primary,Historical,10,10_AJ_SatA,JPY_WEAK,103,-1.554,-0.01508737864077669902912621359,0.8806268243969887847595636811,0.4563106796116504854368932039,0.2439148936170212765957446809,-0.2366909090909090909090909091,,True,-0.01155892335622385350067092904,,,
Short,primary,Historical,10,10_AJ_SatA,JPY_STRONG,123,-0.434,-0.003528455284552845528455284553,0.9668904485810192249008239243,0.4471544715447154471544715447,0.2304363636363636363636363636,-0.1927647058823529411764705882,,True,-0.01155892335622385350067092904,,,
Short,primary,Historical,10,10_AJ_SatA,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.01155892335622385350067092904,,,
Short,primary,Historical,11,11_AJ_SatB,JPY_WEAK,103,8.836363630,0.08578993815533980582524271845,1.415065333963559962276743369,0.5242718446601941747572815534,0.5578787878518518518518518519,-0.4344712431428571428571428571,,True,0.04236052207403899281711263715,,,
Short,primary,Historical,11,11_AJ_SatB,JPY_STRONG,123,5.341818178,0.04342941608130081300813008130,1.227946310620860616080521233,0.4878048780487804878048780488,0.4796060605833333333333333333,-0.3719769120158730158730158730,,True,0.04236052207403899281711263715,,,
Short,primary,Historical,11,11_AJ_SatB,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.04236052207403899281711263715,,,
Short,primary,Historical,12,12_UJ_Short_Core,JPY_WEAK,138,27.278,0.1976666666666666666666666667,2.245513903474727181407241678,0.6086956521739130434782608696,0.5854642857142857142857142857,-0.4132264150943396226415094340,,True,0.0039151515151515151515151515,,,
Short,primary,Historical,12,12_UJ_Short_Core,JPY_STRONG,165,31.969,0.1937515151515151515151515152,2.161200101703534197813374015,0.5939393939393939393939393939,0.6071428571428571428571428571,-0.4109104477611940298507462687,,True,0.0039151515151515151515151515,,,
Short,primary,Historical,12,12_UJ_Short_Core,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.0039151515151515151515151515,,,
