Dataset,RiskPct,RiskPctLabel,Month,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2015-02,41,487471.0,510214.0,22743.0,4.67,49241.0,9.45
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-05,121,9769818.0,10225603.0,455784.0,4.67,1838164.0,16.44
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2020-03,2,44426055.0,46509320.0,2083265.0,4.69,3183169.0,6.58
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2025-09,104,2563102973.0,2683203054.0,120100081.0,4.69,358677754.0,12.78
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2018-06,94,10225603.0,10705062.0,479460.0,4.69,988846.0,8.84
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2021-02,95,368727681.0,386095019.0,17367338.0,4.71,73696841.0,16.96
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020-05,73,10809557.0,11332851.0,523294.0,4.84,1277388.0,11.03
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2019-01,83,19812248.0,20798638.0,986390.0,4.98,1611130.0,7.27
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2019-03,102,24387283.0,25604021.0,1216738.0,4.99,1840897.0,7.38
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2022-12,35,1554677706.0,1632503022.0,77825316.0,5.01,257651284.0,15.35
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2022-11,36,240653550.0,252854517.0,12200967.0,5.07,30935576.0,11.58
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2025-05,61,23819553955.0,25042776059.0,1223222104.0,5.14,3645238139.0,14.69
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2024-08,24,12278085898.0,12911692700.0,633606802.0,5.16,1465671050.0,10.42
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2016-02,9,991268.0,1042453.0,51185.0,5.16,31642.0,3.01
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-04,29,780022.0,821968.0,41945.0,5.38,17009.0,2.12
