StrategyNo,Strategy,Period,Start,EndExclusive,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,MaxDDR,MaxLosingStreak,SLCount,SLRate,TPCount,TPRate,TimeCount,TimeRate,OtherCount,OtherRate
15,15_UJ_Sat_Aug,RecentA,2022-01-01,2024-01-01,12,-1.00,-0.08333333333333333333333333333,0.875,0.3333333333333333333333333333,1.75,-1.0,3.0,3,8,0.6666666666666666666666666667,4,0.3333333333333333333333333333,0,0,0,0
15,15_UJ_Sat_Aug,RecentB,2024-01-01,2026-01-01,11,5.50,0.50,2.1,0.5454545454545454545454545455,1.75,-1.0,2.00,2,5,0.4545454545454545454545454545,6,0.5454545454545454545454545455,0,0,0,0
15,15_UJ_Sat_Aug,RecentCombined,2022-01-01,2026-01-01,23,4.50,0.1956521739130434782608695652,1.346153846153846153846153846,0.4347826086956521739130434783,1.75,-1.0,3.0,3,13,0.5652173913043478260869565217,10,0.4347826086956521739130434783,0,0,0,0
15,15_UJ_Sat_Aug,Monitor2026,2026-01-01,2026-09-10,5,6.00,1.20,7.0,0.8,1.75,-1.0,1.00,1,1,0.2,4,0.8,0,0,0,0
16,16_UJ_T10A,Historical,2015-01-01,2022-01-01,37,5.642222222,0.1524924924864864864864864865,1.919261404709657443710729274,0.6216216216216216216216216216,0.5121739130434782608695652174,-0.4384126984285714285714285714,1.104444444,3,3,0.08108108108108108108108108108,1,0.02702702702702702702702702703,33,0.8918918918918918918918918919,0,0
16,16_UJ_T10A,RecentA,2022-01-01,2024-01-01,10,2.797777778,0.2797777778,4.873846155345798817029476559,0.8,0.440000000,-0.361111111,0.722222222,2,0,0,0,0,10,1,0,0
16,16_UJ_T10A,RecentB,2024-01-01,2026-01-01,9,3.028888888,0.3365432097777777777777777778,3.524074073333333333333333333,0.6666666666666666666666666667,0.7048148146666666666666666667,-0.400000000,1.000000000,1,1,0.1111111111111111111111111111,1,0.1111111111111111111111111111,7,0.7777777777777777777777777778,0,0
16,16_UJ_T10A,RecentCombined,2022-01-01,2026-01-01,19,5.826666666,0.3066666666315789473684210526,4.031213872835978482408783640,0.7368421052631578947368421053,0.5534920634285714285714285714,-0.3844444444,1.000000000,2,1,0.05263157894736842105263157895,1,0.05263157894736842105263157895,17,0.8947368421052631578947368421,0,0
16,16_UJ_T10A,Monitor2026,2026-01-01,2026-09-10,4,0.275555556,0.068888889,1.207357859848883122086213786,0.5,0.8022222225,-0.6644444445,1.000000000,1,1,0.25,0,0,3,0.75,0,0
17,17_EA_1B_Wed_Short,Historical,2015-01-01,2022-01-01,215,35.625714283,0.1657009966651162790697674419,1.652349063457127246380065635,0.5860465116279069767441860465,0.7161678004365079365079365079,-0.6136115569887640449438202247,3.977142858,4,40,0.1860465116279069767441860465,4,0.01860465116279069767441860465,171,0.7953488372093023255813953488,0,0
