Period,Method,Scope,Quintile,Trades,TotalTrades,CoveragePct
FULL,primary,2,Q5,192,1029,18.658892128279884
FULL,primary,2,INSUFFICIENT_VOL_HISTORY,75,1029,7.288629737609329
FULL,primary,3,Q1,322,1029,31.292517006802722
FULL,primary,3,Q2,174,1029,16.909620991253643
FULL,primary,3,Q3,114,1029,11.078717201166182
FULL,primary,3,Q4,151,1029,14.674441205053451
FULL,primary,3,Q5,193,1029,18.756073858114675
FULL,primary,3,INSUFFICIENT_VOL_HISTORY,75,1029,7.288629737609329
FULL,primary,4,Q1,271,956,28.34728033472803
FULL,primary,4,Q2,138,956,14.435146443514643
FULL,primary,4,Q3,140,956,14.644351464435147
FULL,primary,4,Q4,150,956,15.690376569037657
FULL,primary,4,Q5,178,956,18.619246861924683
FULL,primary,4,INSUFFICIENT_VOL_HISTORY,79,956,8.263598326359832
FULL,primary,5,Q1,342,1252,27.316293929712458
FULL,primary,5,Q2,190,1252,15.175718849840255
FULL,primary,5,Q3,209,1252,16.69329073482428
FULL,primary,5,Q4,182,1252,14.536741214057509
FULL,primary,5,Q5,238,1252,19.009584664536742
FULL,primary,5,INSUFFICIENT_VOL_HISTORY,91,1252,7.268370607028754
FULL,primary,6,Q1,149,491,30.346232179226067
FULL,primary,6,Q2,70,491,14.25661914460285
FULL,primary,6,Q3,82,491,16.700610997963338
FULL,primary,6,Q4,71,491,14.460285132382891
FULL,primary,6,Q5,83,491,16.90427698574338
FULL,primary,6,INSUFFICIENT_VOL_HISTORY,36,491,7.3319755600814664
FULL,primary,7,Q1,175,589,29.711375212224105
FULL,primary,7,Q2,84,589,14.261460101867574
FULL,primary,7,Q3,99,589,16.808149405772497
FULL,primary,7,Q4,84,589,14.261460101867574
FULL,primary,7,Q5,103,589,17.487266553480477
FULL,primary,7,INSUFFICIENT_VOL_HISTORY,44,589,7.470288624787775
FULL,primary,8,Q1,167,590,28.30508474576271
FULL,primary,8,Q2,96,590,16.271186440677965
FULL,primary,8,Q3,97,590,16.440677966101696
FULL,primary,8,Q4,75,590,12.711864406779661
FULL,primary,8,Q5,110,590,18.64406779661017
FULL,primary,8,INSUFFICIENT_VOL_HISTORY,45,590,7.627118644067797
FULL,primary,9,Q1,79,340,23.235294117647058
FULL,primary,9,Q2,52,340,15.294117647058824
